warrior,Patch,Daily Posts,Daily EC,Posts,EC,Qs,2ndF,QS/3RDF,Donations,BD,Snowman,AOs
Broomstick,Band,0.74,4.03,14,76.53,2,3,3,1,0,1,1
Broomstick,Beast,1.79,6.13,34,116.53,3,4,4,2,0,1,4
Broomstick,Ultimate,2.05,7.4,39,140.53,3,4,4,2,3,1,6
Chum Bucket,Band,0.21,1.77,4,33.58,1,1,2,1,0,1,0
Chum Bucket,Beast,1.26,3.87,24,73.58,2,2,3,2,1,1,0
Chum Bucket,Ultimate,1.53,5.14,29,97.58,2,2,3,2,5,1,1
Dauber,Band,0.53,1.46,10,27.71,0,2,0,1,0,1,0
Dauber,Beast,1.58,3.56,30,67.71000000000001,0,3,0,2,2,1,3
Dauber,Ultimate,1.84,4.83,35,91.71000000000001,0,3,0,2,6,1,5
Deja vu,Band,0.0,1.97,0,37.51,0,0,1,0,0,0,0
Deja vu,Beast,0.95,4.08,18,77.50999999999999,0,1,2,1,3,0,2
Deja vu,Ultimate,1.21,5.34,23,101.50999999999999,0,1,2,1,7,0,4
Depends (3rdF Q),Band,0.47,1.73,9,32.91,1,2,0,1,0,1,0
Depends (3rdF Q),Beast,1.53,3.84,29,72.91,2,3,0,2,3,1,1
Depends (3rdF Q),Ultimate,1.79,5.1,34,96.91,2,3,0,2,7,1,3
Dilly Dilly,Band,0.53,2.75,10,52.2,1,3,3,1,0,1,2
Dilly Dilly,Beast,1.58,4.85,30,92.2,2,4,4,2,3,1,5
Dilly Dilly,Ultimate,1.84,6.12,35,116.2,2,4,4,2,7,1,7
Duck Hunt,Band,0.32,0.47,6,8.950000000000003,2,2,3,1,0,1,0
Duck Hunt,Beast,1.37,2.58,26,48.95,3,3,4,2,0,1,2
Duck Hunt,Ultimate,1.63,3.84,31,72.95,3,3,4,2,4,1,4
Foghorn,Band,0.79,3.82,15,72.57,0,3,0,1,0,1,0
Foghorn,Beast,1.84,5.92,35,112.57,1,4,0,2,1,1,2
Foghorn,Ultimate,2.11,7.19,40,136.57,1,4,0,2,5,1,4
Foreclosure,Band,0.16,1.1,3,20.92,0,0,3,1,0,0,0
Foreclosure,Beast,1.21,3.21,23,60.92,0,1,4,2,0,0,0
Foreclosure,Ultimate,1.47,4.47,28,84.92,0,1,4,2,0,0,2
Hodl,Band,0.58,4.13,11,78.45,0,1,0,1,0,1,0
Hodl,Beast,1.63,6.23,31,118.45,0,2,1,2,2,1,2
Hodl,Ultimate,1.89,7.5,36,142.45,0,2,1,2,6,1,4
Mr. Kotter,Band,0.0,0.0,0,0.0,0,0,0,0,0,0,0
Mr. Kotter,Beast,0.74,1.38,14,26.159999999999997,0,0,0,0,0,0,0
Mr. Kotter,Ultimate,1.0,2.64,19,50.16,0,0,0,0,0,0,0
Party in a bottle,Band,0.84,4.05,16,77.0,0,1,3,1,0,1,0
Party in a bottle,Beast,1.89,6.16,36,117.0,1,2,4,2,3,1,3
Party in a bottle,Ultimate,2.16,7.42,41,141.0,1,2,4,2,7,1,5
Pull-up,Band,0.16,0.0,3,0.0,0,3,0,1,0,1,0
Pull-up,Beast,1.21,2.0,23,37.959999999999994,0,4,0,2,0,1,0
Pull-up,Ultimate,1.47,3.26,28,61.959999999999994,0,4,0,2,3,1,2
Slackbot,Band,0.84,3.51,16,66.64,0,3,3,0,0,0,5
Slackbot,Beast,1.89,5.61,36,106.64,0,4,4,1,4,0,8
Slackbot,Ultimate,2.16,6.88,41,130.64,0,4,4,1,8,0,10
Soft Hands,Band,0.37,3.49,7,66.27,0,1,3,1,0,1,0
Soft Hands,Beast,1.42,5.59,27,106.27,1,2,4,2,3,1,2
Soft Hands,Ultimate,1.68,6.86,32,130.27,1,2,4,2,7,1,4
Sparkler,Band,0.26,0.0,5,0.0,0,3,3,0,0,1,0
Sparkler,Beast,1.32,1.64,25,31.159999999999997,1,4,4,1,0,1,1
Sparkler,Ultimate,1.58,2.9,30,55.16,1,4,4,1,0,1,3
Spit Valve,Band,0.53,2.68,10,51.01,0,2,3,1,0,0,0
Spit Valve,Beast,1.58,4.79,30,91.00999999999999,0,3,4,2,2,0,1
Spit Valve,Ultimate,1.84,6.05,35,115.00999999999999,0,3,4,2,6,0,3
Stitch,Band,1.32,4.07,25,77.3,2,3,3,1,0,1,2
Stitch,Beast,2.37,6.17,45,117.3,3,4,4,2,4,1,5
Stitch,Ultimate,2.63,7.44,50,141.3,3,4,4,2,8,1,7
