warrior,Posts,Miles,Qs,F2nd,Qs_3rdF,Donations,Black_Diamonds,F3P_AO_count,F3P_AOs
Broomstick,3,3.47,0,0,0,0,1,3,"['the-olympiad', 'the-ridge', 'black-diamond']"
Chum Bucket,4,7.27,0,1,0,0,1,4,"['the-olympiad', 'the-ridge', 'black-diamond', 'the-silo']"
Dauber,3,5.9,0,0,0,0,0,3,"['the-olympiad', 'the-colosseum', 'the-ridge']"
Deja vu,5,2.1,0,1,0,0,0,0,[]
Depends (3rdF Q),2,5.720000000000001,0,0,0,0,1,2,"['the-olympiad', 'black-diamond']"
Dilly Dilly,2,14.2,1,0,0,0,0,1,['the-ridge']
Duck Hunt,7,1.75,1,0,0,0,1,3,"['black-diamond', 'da-grizz', 'el-coyote']"
Foghorn,3,4.4,1,0,0,0,2,3,"['black-diamond', 'the-silo', 'the-grove']"
Foreclosure,5,7.870000000000001,0,1,0,0,2,3,"['black-diamond', 'the-olympiad', 'the-silo']"
Mr. Kotter,4,14.870000000000001,0,1,0,1,0,3,"['the-colosseum', 'the-ridge', 'el-coyote']"
Party in a bottle,2,3.0,1,1,0,0,0,2,"['the-colosseum', 'the-ridge']"
Pull-up,4,10.09,1,0,0,0,1,3,"['the-ridge', 'black-diamond', 'the-grove']"
Slackbot,4,2.1,4,0,0,0,0,0,[]
Sparkler,4,11.850000000000001,1,0,0,1,3,3,"['black-diamond', 'the-silo', 'the-grove']"
Spit Valve,5,4.5,4,0,0,0,0,1,['the-colosseum']
Stitch,2,2.7,0,0,0,0,0,2,"['the-silo', 'the-grove']"
