warrior,Patch,Daily Posts,Daily EC,Posts,EC,Qs,2ndF,QS/3RDF,Donations,BD,Snowman,AOs
Broomstick,Band,0.77,3.48,17,76.53,3,3,3,1,0,1,1
Broomstick,Beast,1.68,5.3,37,116.53,4,4,4,2,0,1,4
Broomstick,Ultimate,1.91,6.39,42,140.53,4,4,4,2,4,1,6
Chum Bucket,Band,0.32,1.64,7,36.08,1,1,2,1,0,1,0
Chum Bucket,Beast,1.23,3.46,27,76.08,2,2,3,2,1,1,0
Chum Bucket,Ultimate,1.45,4.55,32,100.08,2,2,3,2,5,1,1
Dauber,Band,0.5,1.54,11,33.97,0,2,0,1,0,1,0
Dauber,Beast,1.41,3.36,31,73.97,0,3,0,2,2,1,3
Dauber,Ultimate,1.64,4.45,36,97.97,0,3,0,2,6,1,5
Deja vu,Band,0.05,1.84,1,40.53,0,0,1,0,0,0,0
Deja vu,Beast,0.95,3.66,21,80.53,0,1,2,1,3,0,3
Deja vu,Ultimate,1.18,4.75,26,104.53,0,1,2,1,7,0,5
Depends (3rdF Q),Band,0.45,1.64,10,36.05,1,2,0,1,0,1,0
Depends (3rdF Q),Beast,1.36,3.46,30,76.05,2,3,0,2,3,1,1
Depends (3rdF Q),Ultimate,1.59,4.55,35,100.05,2,3,0,2,7,1,3
Dilly Dilly,Band,0.59,2.37,13,52.2,2,3,3,1,0,1,2
Dilly Dilly,Beast,1.5,4.19,33,92.2,3,4,4,2,3,1,5
Dilly Dilly,Ultimate,1.73,5.28,38,116.2,3,4,4,2,7,1,7
Duck Hunt,Band,0.27,2.64,6,58.03,2,2,3,1,0,1,0
Duck Hunt,Beast,1.18,4.46,26,98.03,3,3,4,2,0,1,2
Duck Hunt,Ultimate,1.41,5.55,31,122.03,3,3,4,2,4,1,4
Foghorn,Band,0.73,3.3,16,72.57,0,3,0,1,0,1,0
Foghorn,Beast,1.64,5.12,36,112.57,1,4,0,2,1,1,2
Foghorn,Ultimate,1.86,6.21,41,136.57,1,4,0,2,5,1,4
Foreclosure,Band,0.18,1.1,4,24.17,0,0,3,1,0,0,0
Foreclosure,Beast,1.09,2.92,24,64.17,0,1,4,2,0,0,0
Foreclosure,Ultimate,1.32,4.01,29,88.17,0,1,4,2,0,0,2
Hodl,Band,0.59,3.57,13,78.45,0,1,0,1,0,1,0
Hodl,Beast,1.5,5.38,33,118.45,0,2,1,2,2,1,2
Hodl,Ultimate,1.73,6.48,38,142.45,0,2,1,2,6,1,4
Mr. Kotter,Band,0.0,0.0,0,0.0,0,0,0,0,0,0,0
Mr. Kotter,Beast,0.86,1.74,19,38.239999999999995,0,0,0,0,0,0,0
Mr. Kotter,Ultimate,1.09,2.83,24,62.239999999999995,0,0,0,0,1,0,0
Party in a bottle,Band,0.77,3.5,17,77.0,0,1,3,1,0,1,0
Party in a bottle,Beast,1.68,5.32,37,117.0,1,2,4,2,3,1,3
Party in a bottle,Ultimate,1.91,6.41,42,141.0,1,2,4,2,7,1,5
Pull-up,Band,0.27,0.33,6,7.150000000000006,0,3,0,1,0,1,0
Pull-up,Beast,1.18,2.14,26,47.150000000000006,0,4,0,2,0,1,0
Pull-up,Ultimate,1.41,3.23,31,71.15,0,4,0,2,3,1,2
Slackbot,Band,0.77,3.03,17,66.64,0,3,3,0,0,0,5
Slackbot,Beast,1.68,4.85,37,106.64,0,4,4,1,4,0,8
Slackbot,Ultimate,1.91,5.94,42,130.64,0,4,4,1,8,0,10
Soft Hands,Band,0.45,3.01,10,66.27,1,1,3,1,0,1,0
Soft Hands,Beast,1.36,4.83,30,106.27,2,2,4,2,3,1,3
Soft Hands,Ultimate,1.59,5.92,35,130.27,2,2,4,2,7,1,5
Sparkler,Band,0.27,0.22,6,4.730000000000004,0,3,3,0,0,1,0
Sparkler,Beast,1.18,2.03,26,44.730000000000004,1,4,4,1,0,1,1
Sparkler,Ultimate,1.41,3.12,31,68.73,1,4,4,1,0,1,3
Spit Valve,Band,0.55,2.32,12,51.01,0,2,3,1,0,0,0
Spit Valve,Beast,1.45,4.14,32,91.00999999999999,0,3,4,2,2,0,2
Spit Valve,Ultimate,1.68,5.23,37,115.00999999999999,0,3,4,2,6,0,4
Stitch,Band,1.14,3.51,25,77.3,2,3,3,1,0,1,2
Stitch,Beast,2.05,5.33,45,117.3,3,4,4,2,4,1,5
Stitch,Ultimate,2.27,6.42,50,141.3,3,4,4,2,8,1,7
