warrior,Posts,Miles,Qs,F2nd,Qs_3rdF,Donations,Black_Diamonds,F3P_AO_count,F3P_AOs
Broomstick,10,3.47,0,0,0,0,4,4,"['black-diamond', 'the-olympiad', 'the-ridge', 'the-colosseum']"
Chum Bucket,19,32.42,2,2,1,0,3,8,"['the-olympiad', 'the-ridge', 'the-silo', 'black-diamond', 'dmz', 'the-grove', 'el-coyote', 'the-colosseum']"
Dauber,16,36.98,3,1,4,0,2,5,"['the-olympiad', 'the-ridge', 'the-colosseum', 'black-diamond', 'the-grove']"
Deja vu,25,32.69,5,3,1,1,1,5,"['the-ridge', 'black-diamond', 'black-rock', 'the-colosseum', 'the-olympiad']"
Depends (3rdF Q),17,34.59,2,1,8,0,1,7,"['the-olympiad', 'black-diamond', 'ravens-nest', 'the-colosseum', 'black-rock', 'the-silo', 'da-grizz']"
Dilly Dilly,14,27.8,1,0,0,0,1,3,"['the-ridge', 'the-colosseum', 'black-diamond']"
Duck Hunt,20,21.97,1,1,0,0,4,6,"['el-coyote', 'black-diamond', 'da-grizz', 'ravens-nest', 'da-grizz-ebc', 'black-rock']"
Foghorn,13,4.4,3,0,4,0,3,5,"['black-diamond', 'the-grove', 'the-silo', 'the-ridge', 'the-colosseum']"
Foreclosure,22,46.52,3,3,0,0,7,8,"['the-olympiad', 'black-diamond', 'the-silo', 'the-ridge', 'black-rock', 'the-colosseum', 'the-grove', 'ravens-nest']"
Mr. Kotter,25,66.34,3,4,4,2,6,11,"['el-coyote', 'the-colosseum', 'the-ridge', 'black-rock', 'ravens-nest', 'black-diamond', 'the-olympiad', 'the-silo', 'the-grove', 'da-grizz-ebc', 'da-grizz']"
Party in a bottle,13,3.0,3,2,0,0,1,5,"['the-ridge', 'the-colosseum', 'black-rock', 'black-diamond', 'the-silo']"
Pull-up,20,61.83,5,0,4,0,4,7,"['the-ridge', 'the-grove', 'black-diamond', 'the-silo', 'dmz', 'the-colosseum', 'the-olympiad']"
Slackbot,12,13.36,12,0,0,1,0,0,[]
Soft Hands,17,10.59,2,2,0,0,1,5,"['the-olympiad', 'the-ridge', 'the-colosseum', 'black-diamond', 'black-rock']"
Sparkler,20,64.33,3,0,0,1,7,6,"['black-diamond', 'the-grove', 'the-silo', 'black-rock', 'the-ridge', 'the-colosseum']"
Spit Valve,16,25.99,10,1,0,0,2,6,"['the-colosseum', 'the-ridge', 'the-grove', 'el-coyote', 'the-olympiad', 'black-diamond']"
Stitch,5,2.7,1,0,0,0,0,3,"['the-grove', 'the-silo', 'the-ridge']"
